"name","enabled","OperatingSystem"
"DCSDC02","False","Windows Server 2012 R2 Standard"
"DCWDC01","False","Windows Server 2016 Standard"
"DCAWS02B","True","Windows Server 2019 Standard"
"DCAWS01","True","Windows Server 2019 Standard"
"PWISHCD01","False","Windows Server 2008 R2 Enterprise"
"LC-01","True","Windows Server 2016 Standard"
"TVSERVER","True","Windows Server 2012 R2 Standard"
"CASDC01","True","Windows Server 2012 R2 Standard"
"vwisy01","False","Windows Server 2008 R2 Enterprise"
"CWAP01PMVWI","False","Windows Server 2012 Standard"
"co47114w14","False",
"PS01PMVWI","False","Windows Server 2012 Standard"
"PSSDC01","True","Windows Server 2012 R2 Standard"
"PNC-PRODUCT01","False","Windows Server? 2008 Enterprise"
"PNC-TEST01","False","Windows Server? 2008 Enterprise"
"FS01PMVCL","False","Windows Server 2012 Standard"
"AD0305W14","True","Windows 7 Enterprise"
"HPO0344H","False","Windows 7 Enterprise"
"NDSDC04","False","Windows Server 2012 R2 Standard"
"NDSDC02","False","Windows Server 2012 R2 Standard"
"FSSDC01","False",
"NDSDC01","False","Windows Server 2012 R2 Standard"
"NDSDC03","False","Windows Server 2012 R2 Standard"
"CLSDC01","False","Windows Server 2012 R2 Standard"
"CS35105W16","False","Windows 10 Enterprise"
"CS35101W16","False","Windows 10 Enterprise"
"CS35108W16","False","Windows 10 Enterprise"
"CS35109W16","False","Windows 10 Enterprise"
"CS35107W16","False","Windows 10 Enterprise"
"CS35104W16","False","Windows 10 Enterprise"
"CS35110W16","False","Windows 10 Enterprise"
"CS35103W16","False","Windows 10 Enterprise"
"ND04","False","Windows Server 2012 Standard"
"SQ02PMVCL","False","Windows Server 2012 Standard"
"WL344IW16","False","Windows 10 Enterprise"
"WL344DW16","False","Windows 10 Enterprise"
"WL344EW16","True","Windows 10 Enterprise"
"WL344CW16","False","Windows 10 Enterprise"
"WL344HW16","False","Windows 10 Enterprise"
"WL344FW16","False","Windows 10 Enterprise"
"MOSESFD1","False","Windows 7 Enterprise"
"AS474LW16","False","Windows 10 Enterprise"
"cwis01pmvwi","False","Windows Server 2012 R2 Standard"
"IFSM3961W716","True","Windows 7 Professional"
"COUNSXPS13-1","True","Windows 7 Enterprise"
"AAAHCPC2","True","Windows 7 Professional"
"VWIFS02","True","Windows Server 2008 R2 Enterprise"
"FSH01","True","Windows Server 2016 Standard"
"sccm","False","Windows Server 2016 Standard"
"FSH02","True","Windows Server 2016 Standard"
"AAAHCPC3","True","Windows 7 Professional"
"AS303PC2W17","True","Windows 10 Enterprise"
"cmsb4906w15","True",
"WH411PC1W17","True","Windows 10 Enterprise"
"CSMB4906W17","True","Windows 10 Enterprise"
"CSGC914W17","True","Windows 10 Enterprise"
"CSBK58W715","True","Windows 7 Enterprise"
"AD474IW18","True","Windows 10 Enterprise"
"AI347DW18","True","Windows 10 Enterprise"
"PCSTUDENT2W18","False","Windows 10 Enterprise"
"AD474KW18","True","Windows 10 Enterprise"
"ADMIN474FW18","True","Windows 10 Enterprise"
"PC3FD1W18","True","Windows 10 Enterprise"
"WH412W18","True","Windows 10 Enterprise"
"PCROGB32W18","True","Windows 10 Enterprise"
"PC3FD2W18","True","Windows 10 Enterprise"
"PC3FD3W18","True","Windows 10 Enterprise"
"FSM01","True","Windows Server 2016 Standard"
"fsm02","True","Windows Server 2016 Standard"
"PC4FD3W18","False","Windows 10 Enterprise"
"MR1W18","True","Windows 10 Enterprise"
"MR2W18","True","Windows 10 Enterprise"
"MCPANTRYW20","False","Windows 10 Enterprise"
"RX1W18","False","Windows 10 Enterprise"
"CS4FD2W18","True","Windows 10 Enterprise"
"WHFD1W18","True","Windows 10 Enterprise"
"WHFD2W18","True","Windows 10 Enterprise"
"CS4FD3W18","True","Windows 10 Enterprise"
"CS4FD1W18","True","Windows 10 Enterprise"
"ALFD2W18","True","Windows 10 Enterprise"
"CS4FD4W18","True","Windows 10 Enterprise"
"ALFD1W18","True","Windows 10 Enterprise"
"PTFD2W18","False","Windows 10 Enterprise"
"ADFD2W18","False","Windows 10 Enterprise"
"PTFD1W18","False","Windows 10 Enterprise"
"BKFD1W18","True","Windows 10 Enterprise"
"CS3FD1W18","True","Windows 10 Enterprise"
"PC334W18","True","Windows 10 Enterprise"
"PC322B3W18","True","Windows 10 Enterprise"
"PC307W18","False","Windows 10 Enterprise"
"PC304W18","True","Windows 10 Enterprise"
"PC322B2W18","True","Windows 10 Enterprise"
"MOSESFD06","False","Windows 7 Enterprise"
"MOSES203B","True","Windows 10 Enterprise"
"CR310W17","False","Windows 10 Enterprise"
"PCROGB034W16","True","Windows 10 Enterprise"
"MR336FW20","False","Windows 10 Enterprise"
"SB920FDW17","True","Windows 10 Enterprise"
"WLFD1W17","True","Windows 10 Enterprise"
"MC203AO","True","Windows 10 Enterprise"
"MC203AQ","True","Windows 10 Enterprise"
"MC215FW20","True","Windows 10 Enterprise"
"MC203AG","True","Windows 10 Enterprise"
"MC203AL","True","Windows 10 Enterprise"
"MC203AA","True","Windows 10 Enterprise"
"MC203AC","True","Windows 10 Enterprise"
"MC203AE","True","Windows 10 Enterprise"
"MC203AN","True","Windows 10 Enterprise"
"MC203AD","True","Windows 10 Enterprise"
"MC203AJ","True","Windows 10 Enterprise"
"MC214BW20","True","Windows 10 Enterprise"
"MC203AK","True","Windows 10 Enterprise"
"MC203AF","True","Windows 10 Enterprise"
"MC215GW20","True","Windows 10 Enterprise"
"MC214AW20","False","Windows 10 Enterprise"
"MC203AR","True","Windows 10 Enterprise"
"MC214DW20","True","Windows 10 Enterprise"
"MC203AB","True","Windows 10 Enterprise"
"MC203AM","True","Windows 10 Enterprise"
"MC203AP","True","Windows 10 Enterprise"
"MC215EW20","True","Windows 10 Enterprise"
"MC203AH","True","Windows 10 Enterprise"
"MC214CW20","True","Windows 10 Enterprise"
"PC322B1W18","True","Windows 10 Enterprise"
"PA1W18","False","Windows 10 Enterprise"
"PA2W18","True","Windows 10 Enterprise"
"PA3W18","True","Windows 10 Enterprise"
"PA4W18","True","Windows 10 Enterprise"
"PA5W18","True","Windows 10 Enterprise"
"PA6W18","True","Windows 10 Enterprise"
"PA7W18","True","Windows 10 Enterprise"
"PA8W18","True","Windows 10 Enterprise"
"PA10W18","True","Windows 10 Enterprise"
"PA9W10","True","Windows 10 Enterprise"
"PA12W18","True","Windows 10 Enterprise"
"PA11W18","True","Windows 10 Enterprise"
"PA15W18","True","Windows 10 Enterprise"
"PA14W18","True","Windows 10 Enterprise"
"RX341PC1W18","False","Windows 10 Enterprise"
"PA13W18","True","Windows 10 Enterprise"
"PC319W18","True","Windows 10 Enterprise"
"PC318W18","True","Windows 10 Enterprise"
"PC322AW18","True","Windows 10 Enterprise"
"PC315W18","True","Windows 10 Enterprise"
"PC326W18","True","Windows 10 Enterprise"
"PC328W18","True","Windows 10 Enterprise"
"PC312W18","True","Windows 10 Enterprise"
"PC324W18","True","Windows 10 Enterprise"
"PC3NS1W18","True","Windows 10 Enterprise"
"PC3NS4W18","True","Windows 10 Enterprise"
"PC3NS2W18","True","Windows 10 Enterprise"
"PC3NS3W18","True","Windows 10 Enterprise"
"PC321W18","True","Windows 10 Enterprise"
"PC320W18","True","Windows 10 Enterprise"
"PC311W18","True","Windows 10 Enterprise"
"PC306W18","True","Windows 10 Enterprise"
"PC307AW18","True","Windows 10 Enterprise"
"PC325W18","True","Windows 10 Enterprise"
"AI347IW19","True","Windows 10 Enterprise"
"MR6W18","True","Windows 10 Enterprise"
"PC457C1W18","True","Windows 10 Enterprise"
"PC457C2W18","True","Windows 10 Enterprise"
"PC457C3W18","True","Windows 10 Enterprise"
"PC457C4W18","True","Windows 10 Enterprise"
"PC457A2W18","True","Windows 10 Enterprise"
"PC457A1W18","True","Windows 10 Enterprise"
"PC457A4W18","True","Windows 10 Enterprise"
"PC457A3W18","True","Windows 10 Enterprise"
"PC459C1W18","True","Windows 10 Enterprise"
"PC459C3W18","True","Windows 10 Enterprise"
"PC459C4W18","True","Windows 10 Enterprise"
"PC459C2W18","True","Windows 10 Enterprise"
"PC459C5W18","True","Windows 10 Enterprise"
"PC468C2W18","True","Windows 10 Enterprise"
"PC468C3W18","True","Windows 10 Enterprise"
"PC468C1W18","True","Windows 10 Enterprise"
"PC468C4W18","True","Windows 10 Enterprise"
"WH427C2W18","True","Windows 10 Enterprise"
"WH427C1W18","True","Windows 10 Enterprise"
"PC4NS2W18","True","Windows 10 Enterprise"
"PC4NS1W18","True","Windows 10 Enterprise"
"PC4NS3W18","True","Windows 10 Enterprise"
"PC4NS4W18","True","Windows 10 Enterprise"
"PC4NS7W18","True","Windows 10 Enterprise"
"PC4NS6W18","True","Windows 10 Enterprise"
"PC4NS8W18","True","Windows 10 Enterprise"
"PC4NS5W18","True","Windows 10 Enterprise"
"WH408W18","True","Windows 10 Enterprise"
"WH407W18","True","Windows 10 Enterprise"
"WH410W18","True","Windows 10 Enterprise"
"WH409W18","True","Windows 10 Enterprise"
"WH418W18","True","Windows 10 Enterprise"
"WH406W18","True","Windows 10 Enterprise"
"PC436W18","True","Windows 10 Enterprise"
"PC430W18","True","Windows 10 Enterprise"
"PC428W18","True","Windows 10 Enterprise"
"WH421W18","True","Windows 10 Enterprise"
"PC424C1W18","True","Windows 10 Enterprise"
"PC424C4W18","True","Windows 10 Enterprise"
"PC424C3W18","True","Windows 10 Enterprise"
"PC424C2W18","True","Windows 10 Enterprise"
"PC448W18","True","Windows 10 Enterprise"
"PC449W18","True","Windows 10 Enterprise"
"PC439W18","True","Windows 10 Enterprise"
"WH423C2W18","True","Windows 10 Enterprise"
"WH423C1W18","True","Windows 10 Enterprise"
"PC424C5W18","True","Windows 10 Enterprise"
"WH405W18","True","Windows 10 Enterprise"
"PC454W18","True","Windows 10 Enterprise"
"WH411C1W18","True","Windows 10 Enterprise"
"PC453W18","True","Windows 10 Enterprise"
"WHNS3W18","True","Windows 10 Enterprise"
"WHNS1W18","True","Windows 10 Enterprise"
"WHNS2W18","True","Windows 10 Enterprise"
"WHNS4W18","True","Windows 10 Enterprise"
"PC426W2018","True","Windows 10 Enterprise"
"MOSESBK1W18","False","Windows 10 Enterprise"
"CRCYAW18","False","Windows 10 Enterprise"
"CSCJW18","False","Windows 10 Enterprise"
"CSLAPSEC485W15","True","Windows 7 Enterprise"
"MOSES353HWW18","True","Windows 10 Enterprise"
"PC309W18","True","Windows 10 Enterprise"
"IF352HW19","True","Windows 10 Enterprise"
"IF352JW19","True","Windows 10 Enterprise"
"CSLAPDM160W15","True","Windows 7 Enterprise"
"PTHF20W18","False","Windows 10 Enterprise"
"SPIROMETRYW18","True","Windows 10 Enterprise"
"MCMLM218W18","False","Windows 10 Enterprise"
"MCBCB4W18","False","Windows 10 Enterprise"
"WH411LP1W18","False","Windows 10 Enterprise"
"CSLAPER592W15","True","Windows 7 Enterprise"
"OPPL40W18","False","Windows 10 Enterprise"
"MCIKB329W18","False","Windows 10 Enterprise"
"MCMH4984W18","False","Windows 10 Enterprise"
"WL344K1W18","True","Windows 10 Enterprise"
"WL344K5W18","False","Windows 10 Enterprise"
"WL344K7W18","False","Windows 10 Enterprise"
"WL344K12W18","True","Windows 10 Enterprise"
"CSPOLLS4309W18","True","Windows 10 Enterprise"
"CWSDC04","False","Windows Server 2012 R2 Standard"
"MC202EW19","True","Windows 10 Enterprise"
"IF352DW19","True","Windows 10 Enterprise"
"CSCHAFFM01W18","True","Windows 10 Enterprise"
"SB920FW18","True","Windows 10 Enterprise"
"FAAS100W18","True","Windows 10 Enterprise"
"SB920DW18","False","Windows 10 Enterprise"
"SB920CW18","True","Windows 10 Enterprise"
"SB920BW18","True","Windows 10 Enterprise"
"PCROGBO23W18","True","Windows 10 Enterprise"
"PCROGBO25W18","True","Windows 10 Enterprise"
"PCROGBO27W18","True","Windows 10 Enterprise"
"PCROGBO29W18","True","Windows 10 Enterprise"
"PCROGBO31W18","True","Windows 10 Enterprise"
"MOSES2MTW19","False","Windows 10 Enterprise"
"QIMZ2138W18","True","Windows 10 Enterprise"
"RA341AW19","False","Windows 10 Enterprise"
"AS303PC1W18","True","Windows 10 Enterprise"
"PCROGB026AW19","True","Windows 10 Enterprise"
"PCROGB026BW19","True","Windows 10 Enterprise"
"PCROGB026CW19","True","Windows 10 Enterprise"
"CSROGB046W19","True","Windows 10 Enterprise"
"CSROGB048W19","True","Windows 10 Enterprise"
"PCROGB039W19","True","Windows 10 Enterprise"
"CSROGB047W19","True","Windows 10 Enterprise"
"PCROGB041W19","False","Windows 10 Enterprise"
"MOROGB042W19","True","Windows 10 Enterprise"
"CSROGB040W19","True","Windows 10 Enterprise"
"PC307W19","True","Windows 10 Enterprise"
"CSROGB044W19","False","Windows 10 Enterprise"
"PCROGBO28LABW19","True","Windows 10 Enterprise"
"SP330AW19","True","Windows 10 Enterprise"
"SP330BW19","True","Windows 10 Enterprise"
"SP330CW19","True","Windows 10 Enterprise"
"AI347HW19","True","Windows 10 Enterprise"
"MC202CW18","True","Windows 10 Enterprise"
"MC202BW18","True","Windows 10 Enterprise"
"PC314W18","True","Windows 10 Enterprise"
"PC313W18","True","Windows 10 Enterprise"
"CSSBS533W18","True","Windows 10 Enterprise"
"WH417W18","True","Windows 10 Enterprise"
"WH414W18","True","Windows 10 Enterprise"
"WH415W18","True","Windows 10 Enterprise"
"WH419W18","True","Windows 10 Enterprise"
"WH420W18","True","Windows 10 Enterprise"
"WL344K6W18","True","Windows 10 Enterprise"
"WL344K10W18","True","Windows 10 Enterprise"
"WL344K8W18","True","Windows 10 Enterprise"
"WL344K4W18","True","Windows 10 Enterprise"
"WL344K2W18","True","Windows 10 Enterprise"
"PTLG102W18","False","Windows 10 Enterprise"
"SB920EW18","True","Windows 10 Enterprise"
"AD474DW18","True","Windows 10 Enterprise"
"PC450W18","True","Windows 10 Enterprise"
"PC444W18","True","Windows 10 Enterprise"
"PC446W18","True","Windows 10 Enterprise"
"PC441W18","True","Windows 10 Enterprise"
"PC445W18","True","Windows 10 Enterprise"
"PC442W18","True","Windows 10 Enterprise"
"PC425W18","True","Windows 10 Enterprise"
"PC443W18","True","Windows 10 Enterprise"
"PC432W18","True","Windows 10 Enterprise"
"PC452W18","True","Windows 10 Enterprise"
"PC455W18","True","Windows 10 Enterprise"
"PC435W18","True","Windows 10 Enterprise"
"PC438W18","True","Windows 10 Enterprise"
"PC451W18","True","Windows 10 Enterprise"
"PC437W18","True","Windows 10 Enterprise"
"PC447W18","True","Windows 10 Enterprise"
"MONDOPAD_CC47","False","Windows 7 Professional"
"MC202DW20","True","Windows 10 Enterprise"
"SP333AW19","True","Windows 10 Enterprise"
"SP333BW19","True","Windows 10 Enterprise"
"AI347FW19","True","Windows 10 Enterprise"
"SP333EW19","True","Windows 10 Enterprise"
"SP333FW19","True","Windows 10 Enterprise"
"SP333GW19","True","Windows 10 Enterprise"
"HPO402CW19","True","Windows 10 Enterprise"
"FI476W19","True","Windows 10 Enterprise"
"FI478W19","True","Windows 10 Enterprise"
"SP331W19","True","Windows 10 Enterprise"
"PC340W19","True","Windows 10 Enterprise"
"PC341BW19","False","Windows 10 Enterprise"
"PCROGBO33W19","True","Windows 10 Enterprise"
"HPSTUDW19","False","Windows 10 Enterprise"
"HPSTUFW19","False","Windows 10 Enterprise"
"MC353HW19","True","Windows 10 Enterprise"
"PC431W19","True","Windows 10 Enterprise"
"PHARM4W19","True","Windows 10 Enterprise"
"PHARM3W19","True","Windows 10 Enterprise"
"CRCDS5232W16","True","Windows 7 Enterprise"
"MCFD2W19","True","Windows 10 Enterprise"
"MCFD1W19","True","Windows 10 Enterprise"
"MCFD4W19","True","Windows 10 Enterprise"
"MCFD3W19","False","Windows 10 Enterprise"
"MC202AW20","True","Windows 10 Enterprise"
"MC211W19","False","Windows 10 Enterprise"
"MC210W19","True","Windows 10 Enterprise"
"MC353DW19","True","Windows 10 Enterprise"
"MC353BW19","True","Windows 10 Enterprise"
"MC353EW19","True","Windows 10 Enterprise"
"MC353GW19","False","Windows 10 Enterprise"
"MCR3AW19","True","Windows 10 Enterprise"
"DBAG_PNC-DEV","False",
"MC202BW19","True","Windows 10 Enterprise"
"WHSVR38W19","False","Windows 10 Enterprise"
"RADIOLOGYCDROM","False","Windows 10 Enterprise"
"MCJSC578LPW20","True","Windows 10 Enterprise"
"CRCSL3129W19","False","Windows 10 Enterprise"
"CRCBAH296W19","False","Windows 10 Enterprise"
"CRCSC5829W19","False","Windows 10 Enterprise"
"CSGC914W19","False","Windows 10 Enterprise"
"PTEB1230WTEMP","False","Windows 10 Enterprise"
"CSDS5232W19","False","Windows 10 Enterprise"
"WLER592W19","False","Windows 10 Enterprise"
"ADPD5LPW20","False","Windows 10 Enterprise"
"MC202CW19","False","Windows 10 Enterprise"
"CRCBMM454W16","True","Windows 7 Enterprise"
"CRCSL3129W715","True","Windows 7 Enterprise"
"PHARM5W19","True","Windows 10 Enterprise"
"AIPSA3LPW19","False","Windows 10 Enterprise"
"CSLOUNGEZM1","True","Windows 10 Enterprise"
"AD474CW19","True","Windows 10 Enterprise"
"CSLOUNGEPM1","False","Windows 10 Enterprise"
"MEDLIBZM1","False","Windows 10 Enterprise"
"310ZM1","False","Windows 10 Enterprise"
"CSGROUPZM1","True","Windows 10 Enterprise"
"PC346CW18","True","Windows 10 Enterprise"
"MCBCB4W19","True","Windows 10 Enterprise"
"CSGROUPPM1","False","Windows 10 Enterprise"
"MCFD5W19","False","Windows 10 Enterprise"
"WL344FW20","True","Windows 10 Enterprise"
"MCFD1W20","True","Windows 10 Enterprise"
"MCTEST215C","False","Windows 10 Enterprise"
"MCTEST215BW19","True","Windows 10 Enterprise"
"MC215TESTAW19","True","Windows 10 Enterprise"
"MC353DESK2W19","True","Windows 10 Enterprise"
"AD474HW19","True","Windows 10 Enterprise"
"ADFD1W20","True","Windows 10 Enterprise"
"MCR2W19","True","Windows 10 Enterprise"
"PC3EKGLP1W20","True","Windows 10 Enterprise"
"PC3EKGLP2W20","True","Windows 10 Enterprise"
"EKG4W20","False","Windows 10 Enterprise"
"EKG2W20","False","Windows 10 Enterprise"
"QLJLS671W19","False","Windows 10 Enterprise"
"MCPF45W19","False","Windows 10 Enterprise"
"CSZR1W20","False","Windows 10 Enterprise"
"CSLAR206W20","False","Windows 10 Enterprise"
"310PM1","False","Windows 10 Enterprise"
"MEDLIBPM1","True","Windows 10 Enterprise"
"RXREG2W20","False","Windows 10 Enterprise"
"RXREG1W20","False","Windows 10 Enterprise"
"PC4310AW20","True","Windows 10 Enterprise"
"WLSECCAMW20","False","Windows 10 Enterprise"
"MININT-1J027VN","False","Windows 10 Enterprise"
"PHARM5W20","False","Windows 10 Enterprise"
"ABSOLUTERITEST","False","Windows 10 Enterprise"
"LOAN27W20","False","Windows 10 Enterprise"
"MCDR926W20","False","Windows 10 Enterprise"
"MCKH115W20","False","Windows 10 Enterprise"
"INSYS15W20","False","Windows 10 Enterprise"
"MCJND272W20","False","Windows 10 Enterprise"
"MREA979LPW20","False","Windows 10 Enterprise"
"MCSRL496W20","False","Windows 10 Enterprise"
"MCAEG450W20","False","Windows 10 Enterprise"
"MININT-NQA7P9B","False","Windows 10 Enterprise"
"QLMZ2138W20","False","Windows 10 Enterprise"
"PC4IF26W20","False","Windows 10 Enterprise"
"CSWRD2W20","True","Windows 10 Enterprise"
"CSGH211W20","True","Windows 10 Enterprise"
"PCDH357W20","False","Windows 10 Enterprise"
"ADSH165W20","False","Windows 10 Enterprise"
"AIDW28W20","False","Windows 10 Enterprise"
"CSLAPRB2447W17","True","Windows 7 Enterprise"
"INSFLT1W20","False","Windows 10 Enterprise"
"WHNEWTOE01W20","False","Windows 10 Enterprise"
"CSCP115W20","False","Windows 10 Enterprise"
"PCJL9323W20","False","Windows 10 Enterprise"
"PC4EMB2W20","False","Windows 10 Enterprise"
"PC4VG2133W20","False","Windows 10 Enterprise"
"ALDW28LPW20","False","Windows 10 Enterprise"
"PC4MP1966W20","False","Windows 10 Enterprise"
"PTRYGLEN01W20","False","Windows 10 Enterprise"
"INLA518W20","False","Windows 10 Enterprise"
"PTLG102W20","False","Windows 10 Enterprise"
"PTHF20W20","False","Windows 10 Enterprise"
"PD5-REMOTE","True","Windows 7 Enterprise"
"ADZRS209W20","False","Windows 10 Enterprise"
"CRCKNP261W20","False","Windows 10 Enterprise"
"PSSJC20W20","True","Windows 10 Enterprise"
"MININT-U5MJOCB","False","Windows 10 Enterprise"
"PSSSA166W20","True","Windows 10 Enterprise"
"PSSNC79W20","False","Windows 10 Enterprise"
"QLLL5W20","False","Windows 10 Enterprise"
"PSSTMF4W20","False","Windows 10 Enterprise"
"PSSAS12082W20","False","Windows 10 Enterprise"
"PCOG13W20","False","Windows 10 Enterprise"
"PSSXT1W20","False","Windows 10 Enterprise"
"ADLPSH165W20","False","Windows 10 Enterprise"
"PSSED100W20","False","Windows 10 Enterprise"
"PSSDJ16W20","False","Windows 10 Enterprise"
"PSSINC1W20","False","Windows 10 Enterprise"
"PSSAEP7LPW20","False","Windows 10 Enterprise"
"PSSEDL4W20","False","Windows 10 Enterprise"
"PSSCRM310W20","False","Windows 10 Enterprise"
"MOSESJCU9614W21","False","Windows 10 Enterprise"
"MOSESSA1770W20","False","Windows 10 Enterprise"
"CSMARTIA28W20","False","Windows 10 Enterprise"
"PCCC5903W20","False","Windows 10 Enterprise"
"MININT-VPBO6SV","False","Windows 10 Enterprise"
"PCJR4419W20","False","Windows 10 Enterprise"
"PCHOELZS01W20","False","Windows 10 Enterprise"
"PCLPIF26W20","False","Windows 10 Enterprise"
"PC3SA6277W20","False","Windows 10 Enterprise"
"PC3LV2092W20","False","Windows 10 Enterprise"
"PC3LJG2078W20","False","Windows 10 Enterprise"
"CSAB9542LPW20","False","Windows 10 Enterprise"
"SPBELOKL01LPW21","False","Windows 10 Enterprise"
"PC3EM4000W20","False","Windows 10 Enterprise"
"CSMR6123LPW20","False","Windows 10 Enterprise"
"CSJK5321LPW20","False","Windows 10 Enterprise"
"COVIDLP16W20","False","Windows 10 Enterprise"
"CSJP6155LPW20","False","Windows 10 Enterprise"
"CSJS12072LPW20","False","Windows 10 Enterprise"
"sccm2012","True","Windows Server 2019 Standard"
"COVIDLP6W20","False","Windows 10 Enterprise"
"MININT-M3L074B","False","Windows 10 Enterprise"
"COVIDLP5W20","False","Windows 10 Enterprise"
"PC3BJP246W20","False","Windows 10 Enterprise"
"PC3SA6280LPW20","False","Windows 10 Enterprise"
"COVIDLP2W20","False","Windows 10 Enterprise"
"MC202DW19","True","Windows 10 Enterprise"
"PHARM1W19","True","Windows 10 Enterprise"
"PHARM2W19","True","Windows 10 Enterprise"
"PC306AW19","False","Windows 10 Enterprise"
"SBFD1W19","False","Windows 10 Enterprise"
"WV235LAPTOP","False","Windows 10 Pro"
"ITLG132","False","Windows 10 Enterprise"
"CS47107W16","False","Windows 10 Enterprise"
"MC203AI","True","Windows 10 Enterprise"
"PCAL131LPW20","False","Windows 10 Pro"
"sophostestlaptop","True","Windows 7 Enterprise"
"PC3JO63LPW20","True","Windows 10 Enterprise"
"INSLA518LPW20","False","Windows 10 Enterprise"
"PC3CAD9047LPW20","False","Windows 10 Enterprise"
"PC3CH122LPW20","False","Windows 10 Enterprise"
"PC3MB8375LPW20","False","Windows 10 Enterprise"
"CSAA6545W20","False","Windows 10 Enterprise"
"IFMS10841LPW20","True","Windows 10 Enterprise"
"LOANER1","False","Windows 10 Enterprise"
"CSAA6545LPW20","False","Windows 10 Enterprise"
"CRC03W21","False","Windows 10 Enterprise"
"CRC02W21","False","Windows 10 Enterprise"
"CRC01W21","False","Windows 10 Enterprise"
"CSAM155W20","False","Windows 10 Enterprise"
"CLSDTC01","False",
"SQSDC03","False",
"WHSLC10006PCW21","False","Windows 10 Enterprise"
"WHSSLCPCW21","False","Windows 10 Enterprise"
"PC3SV2208W21","False","Windows 10 Enterprise"
"FAC352A2W21","True","Windows 10 Enterprise"
"FAC352HW21","False","Windows 10 Enterprise"
"GOLIATHWDC01","False","Windows Server 2016 Standard"
"PC3LPW21","False","Windows 10 Enterprise"
"PC3AG5487WFHW21","False","Windows 10 Enterprise"
"WIN10LOW01","False","Windows 10 Enterprise"
"LOANER2","False","Windows 10 Enterprise"
"MCSDCWIN10-504","False","Windows 10 Enterprise"
"RXSPOS1","True","Windows 7 Professional"
"PCRG3621W21","False","Windows 10 Enterprise"
"MCSDCWIN10-501","False","Windows 10 Enterprise"
"MCSDCWIN10-502","False","Windows 10 Enterprise"
"WIN10MASTER","False","Windows 10 Enterprise"
"MCREW8LPW21","False","Windows 10 Enterprise"
"PC3LOANERLP1W21","False","Windows 10 Enterprise"
"PC3LOANERLP2W21","False","Windows 10 Enterprise"
"PC3LOANERLP4W21","False","Windows 10 Enterprise"
"PC3LOANERLP3W21","False","Windows 10 Enterprise"
"CSAA6545LPW21","False","Windows 10 Enterprise"
"PC3BJP246LPW21","False","Windows 10 Enterprise"
"PPNCWDC03","True","Windows Server 2016 Standard"
"DTSHC1W19","True","Windows 10 Enterprise"
"CS47105W16","True","Windows 10 Enterprise"
"CS47116W16","True","Windows 10 Enterprise"
"CS47123W16","True","Windows 10 Enterprise"
"CS47119W16","True","Windows 10 Enterprise"
"CS47115W16","True","Windows 10 Enterprise"
"PC468C5W18","True","Windows 10 Enterprise"
"VACC03W21","False","Windows 10 Enterprise"
"PC341AW22","False","Windows 10 Enterprise"
"CS47112W16","True","Windows 10 Enterprise"
"CS47113W16","True","Windows 10 Enterprise"
"CS47118W16","True","Windows 10 Pro"
"VACC10W21","False","Windows 10 Enterprise"
"MCBOCW22","True","Windows 10 Enterprise"
"CS35102W16","False","Windows 10 Enterprise"
"hpoblackmac1","True","Mac OS X"
"PPNC-CLST","True","Windows Server 2016 Standard"
"VOSDC01","False","Windows Server 2012 R2 Standard"
